Lever position ;Ship speed (v) ;Gas Turbine (GT);GT rate of revolutions (GTn) ;Starboard Propeller Torque ;Port Propeller Torque (Tp);Hight Pressure (HP);HP Turbine exit pressure;GT Compressor outlet air pressure (P2) [bar]  ;GT exhaust gas pressure (Pexh) ;Turbine Injecton Control (TIC) [%]  ;GT Compressor decay state coefficient  ;FuelFlow
2.088;6;5238.12;1.394.475;31.553;31.553;555.004;1.286;6.891;1.02;0.0;0.98;0.194
3.144;9;8.377.311;1.386.747;60.333;60.333;578.609;1.39;7.464;1.02;12.008;0.98;0.238
4.161;12;14.720.833;1.547.459;113.763;113.763;632.714;1.66;8.882;1.023;16.839;0.98;0.333
5.14;15;21.629.846;1.924.332;175.288;175.288;699.104;2.083;11.049;1.026;24.705;0.98;0.489
6.175;18;29.773.398;2.307.172;246.046;246.046;765.837;2.507;13.178;1.031;33.742;0.98;0.668
7.148;21;38.993.552;2.678.074;332.336;332.336;817.09;2.974;15.488;1.036;43.431;0.98;0.86
8.206;24;50.993.843;3087.49;438.08;438.08;914.152;3.584;18.381;1.042;59.606;0.98;1.18
9.3;27;72.773.496;3.560.403;645.121;645.121;1.066.595;4.515;22.546;1.051;88.412;0.98;1.75
1.138;3;846.69;1.368.246;8.501;8.501;455.739;1.12;5.983;1.019;0.0;0.98;0.077
2.088;6;5.543.062;1.393.919;31.456;31.456;562.572;1.295;6.945;1.02;0.0;0.98;0.204
3.144;9;8.377.383;1.386.747;60.339;60.339;577.824;1.39;7.457;1.02;11.975;0.98;0.237
4.161;12;14.720.894;1.547.459;113.763;113.763;631.86;1.66;8.873;1.023;16.797;0.98;0.333
5.14;15;21.629.935;1.924.334;175.242;175.242;698.161;2.083;11.038;1.026;24.65;0.98;0.488
6.175;18;29.780.253;2.307.337;246.086;246.086;764.793;2.507;13.166;1.031;33.676;0.98;0.667
7.148;21;38.993.064;2.678.075;332.247;332.247;816.091;2.973;15.471;1.036;43.352;0.98;0.858
8.206;24;50.993.754;3087.49;438.096;438.096;913.124;3.584;18.361;1.042;59.51;0.98;1.178
9.3;27;72.773.778;3.560.404;645.012;645.012;1.065.737;4.514;22.519;1.051;88.308;0.98;1.748
1.138;3;1.587.745;1.392.712;9.932;9.932;476.424;1.152;6.154;1.019;0.0;0.98;0.101
2.088;6;5.544.073;1393.95;31.463;31.463;561.801;1.295;6.931;1.02;0.0;0.98;0.203
3.144;9;8.377.498;1.386.748;60.337;60.337;577.042;1.39;7.45;1.02;11.942;0.98;0.236
4.161;12;14.721.053;1547.46;113.769;113.769;631.009;1.66;8.864;1.023;16.756;0.98;0.332
5.14;15;21.630.115;1.924.335;175.256;175.256;697.222;2.083;11.027;1.027;24.595;0.98;0.487
6.175;18;29.789.783;2.307.492;246.177;246.177;763.815;2.507;13.154;1.031;33.618;0.98;0.666
7.148;21;38.992.598;2.678.078;332.33;332.33;815.096;2.972;15.454;1.036;43.272;0.98;0.857
8.206;24;50993.7;3.087.489;438.046;438.046;912.098;3.583;18.341;1.042;59.414;0.98;1.176
9.3;27;72.773.937;3.560.417;644.884;644.884;1.064.882;4.512;22.492;1.051;88.204;0.98;1.746
1.138;3;2.471.427;1.409.026;10.92;10.92;501.914;1.188;6.345;1.019;0.0;0.98;0.13
2.088;6;5.852.167;1.392.621;31.22;31.22;569.572;1.304;6.978;1.02;0.0;0.98;0.213
3.144;9;8.377.591;1.386.749;60.338;60.338;576.26;1.39;7.443;1.02;11.909;0.98;0.236
4.161;12;14.721.101;1547.46;113.77;113.77;630.16;1.66;8.856;1.023;16.715;0.98;0.331
5.14;15;21.630.263;1.924.337;175.297;175.297;696.285;2.082;11.015;1.027;24.54;0.98;0.486
6.175;18;29.790.135;2.307.478;246.241;246.241;762.752;2.506;13.141;1.031;33.548;0.98;0.664
7.148;21;38.992.228;2.678.078;332.224;332.224;814.104;2.972;15.438;1.036;43.193;0.98;0.855
8.206;24;50.993.674;3.087.485;438.028;438.028;911.076;3.582;18.32;1.042;59.318;0.98;1.174
9.3;27;72.774.997;3.560.411;645.123;645.123;1.064.033;4.511;22.466;1.051;88.101;0.98;1.744
1.138;3;3.349.221;1414.64;11.277;11.277;527.051;1.221;6.519;1.019;0.0;0.98;0.16
2.088;6;5.904.616;1.392.538;31.203;31.203;570.242;1.306;6.982;1.02;0.0;0.98;0.215
3.144;9;8.377.686;1.386.749;60.341;60.341;575.481;1.39;7.435;1.02;11.876;0.98;0.235
4.161;12;14.721.227;1.547.461;113.77;113.77;629.313;1.659;8.847;1.023;16.673;0.98;0.33
5.14;15;21.630.426;1.924.339;175.297;175.297;695.35;2.082;11.004;1.027;24.486;0.98;0.485
6.175;18;29790.42;2.307.456;246.236;246.236;761.691;2.506;13.128;1.031;33.477;0.98;0.663
7.148;21;38.991.708;2.678.081;332.184;332.184;813.114;2.971;15.421;1.036;43.114;0.98;0.854
8.206;24;50.993.544;3.087.487;438.091;438.091;910.057;3.581;18.3;1.042;59.223;0.98;1.172
9.3;27;72.775.911;3.560.411;644.796;644.796;1.063.186;4.51;22.439;1.051;87.998;0.98;1.742
1.138;3;4.510.173;1.411.749;11.115;11.115;560.295;1.26;6.731;1.019;0.0;0.98;0.2
2.088;6;6.066.049;1.391.228;30.958;30.958;573.792;1.31;6.999;1.02;0.0;0.98;0.22
3.144;9;8.377.779;1386.75;60.339;60.339;574.702;1.39;7.428;1.021;11.843;0.98;0.234
4.161;12;14.721.312;1.547.462;113.747;113.747;628.468;1.659;8.838;1.023;16.632;0.98;0.329
5.14;15;21.630.721;1924.34;175.253;175.253;694.418;2.082;10.993;1.027;24.431;0.98;0.484
6.175;18;29.790.785;2.307.441;246.211;246.211;760.635;2.506;13.114;1.031;33.407;0.98;0.661
7.148;21;38.991.335;2.678.081;332.256;332.256;812.126;2.971;15.405;1.036;43.035;0.98;0.852
8.206;24;50.993.542;3.087.484;437.957;437.957;909.042;3.58;18.28;1.042;59.128;0.98;1.171
9.3;27;72.776.464;3.560.411;645.07;645.07;1.062.339;4.509;22.413;1.051;87.895;0.98;1.74
1.138;3;6.488.608;1.388.479;9.739;9.739;614.857;1.316;7.053;1.019;0.0;0.98;0.268
2.088;6;6.100.642;1.391.042;30.924;30.924;573.991;1.311;6.999;1.02;0.0;0.98;0.221
3.144;9;8.377.853;1386.75;60.344;60.344;573.926;1.39;7.421;1.021;11.81;0.98;0.234
4.161;12;14.721.307;1.547.462;113.774;113.774;627.624;1.659;8.829;1.023;16.591;0.98;0.328
5.14;15;21.630.849;1.924.342;175.275;175.275;693.488;2.082;10.982;1.027;24.377;0.98;0.483
6.175;18;29.791.116;2.307.422;246.225;246.225;759.581;2.506;13.101;1.031;33.338;0.98;0.66
7.148;21;38.990.965;2.678.082;332.241;332.241;811.142;2.97;15.388;1.036;42.957;0.98;0.851
8.206;24;50.993.464;3.087.482;438.081;438.081;908.029;3.58;18.26;1.042;59.033;0.98;1.169
9.3;27;72.776.614;3.560.418;645.143;645.143;1.061.493;4.508;22.387;1.051;87.792;0.98;1.738
1.138;3;6.970.228;1.376.924;9.057;9.057;629.928;1.326;7.111;1.019;2.382;0.98;0.29
2.088;6;6.346.321;1.388.928;30.532;30.532;580.529;1.318;7.038;1.02;1.09;0.98;0.23
3.144;9;8.377.974;1.386.751;60.347;60.347;573.151;1.389;7.414;1.021;11.777;0.98;0.233
4.161;12;14.721.406;1.547.463;113.767;113.767;626.783;1.659;8.82;1.023;16.549;0.98;0.328
5.14;15;21.630.976;1.924.344;175.299;175.299;692.559;2.081;10.971;1.027;24.323;0.98;0.481
6.175;18;29.791.456;2.307.407;246.222;246.222;758.53;2.505;13.088;1.031;33.268;0.98;0.659
7.148;21;38.990.489;2.678.084;332.17;332.17;810.16;2.969;15.371;1.036;42.878;0.98;0.849
8.206;24;50.993.414;3.087.481;437.961;437.961;907.02;3.579;18.239;1.042;58.938;0.98;1.167
9.3;27;72777.17;3.560.418;645.135;645.135;1.060.651;4.507;22.36;1.051;87.69;0.98;1.736
1.138;3;7.016.968;1.349.557;7.487;7.487;637.97;1.32;7.082;1.019;17.411;0.98;0.309
2.088;6;6.487.719;1.387.296;30.23;30.23;583.997;1.321;7.053;1.02;2.337;0.98;0.236
3.144;9;8.378.076;1.386.751;60.344;60.344;572.378;1.389;7.407;1.021;11.744;0.98;0.232
4.161;12;14.721.594;1.547.463;113.778;113.778;625.945;1.659;8.812;1.023;16.508;0.98;0.327
5.14;15;21.631.176;1.924.346;175.257;175.257;691.634;2.081;10.96;1.027;24.269;0.98;0.48
6.175;18;29.791.811;2.307.392;246.263;246.263;757.483;2.505;13.075;1.031;33.198;0.98;0.657
7.148;21;38990.08;2.678.085;332.277;332.277;809.18;2.969;15.355;1.036;42.8;0.98;0.847
8.206;24;50.993.323;3.087.481;438.081;438.081;906.013;3.578;18.219;1.042;58.844;0.98;1.165
9.3;27;72.778.886;3.560.412;644.915;644.915;1.059.818;4.505;22.334;1.051;87.589;0.98;1.734
1.138;3;3677.58;1.392.128;9.995;9.995;555.267;1.23;6.7;1.019;4.063;0.981;0.19
2.088;6;3.133.944;1.377.497;28.3;28.3;509.106;1.213;6.593;1.019;3.184;0.981;0.134
3.144;9;8.375.409;1.386.737;60.314;60.314;591.75;1.392;7.588;1.02;12.562;0.981;0.249
4.161;12;14.719.282;1.547.448;113.745;113.745;647.098;1.664;9.037;1.022;17.541;0.981;0.347
5.14;15;21.626.508;1.924.306;175.249;175.249;714.972;2.088;11.244;1.026;25.63;0.981;0.507
6.175;18;29.761.084;2.306.843;246.012;246.012;784.001;2.513;13.41;1.03;34.944;0.981;0.692
7.148;21;39.003.379;2.678.026;332.449;332.449;833.818;2.984;15.782;1.035;44.778;0.981;0.887
8.206;24;50.987.923;3.087.247;437.945;437.945;931.453;3.598;18.736;1.041;61.232;0.981;1.212
9.3;27;72.758.501;3.560.367;645.027;645.027;1.080.416;4.536;23.014;1.051;90.134;0.981;1.784
1.138;3;4159.84;1.391.212;9.937;9.937;568.593;1.246;6.786;1.019;3.967;0.981;0.206
2.088;6;3230.57;1.379.426;28.657;28.657;510.73;1.217;6.607;1.02;2.018;0.981;0.136
3.144;9;8.375.515;1.386.737;60.315;60.315;590.937;1.392;7.581;1.02;12.528;0.981;0.248
4.161;12;14719.39;1.547.448;113.735;113.735;646.209;1.664;9.028;1.022;17.498;0.981;0.346
5.14;15;21.626.568;1.924.308;175.26;175.26;713.988;2.088;11.232;1.026;25.574;0.981;0.506
6.175;18;29.761.173;2.306.832;245.934;245.934;782.874;2.512;13.396;1.03;34.87;0.981;0.69
7.148;21;39002.76;2.678.029;332.405;332.405;832.773;2.984;15.764;1.035;44.695;0.981;0.885
8.206;24;50.989.352;3.087.293;438.048;438.048;930.374;3.598;18.715;1.041;61.133;0.981;1.21
9.3;27;72.758.994;3.560.371;645.012;645.012;1.079.515;4.535;22.986;1.051;90.026;0.981;1.782
1.138;3;4.836.328;1.385.143;9.58;9.58;588.152;1.267;6.898;1.019;4.242;0.981;0.229
2.088;6;3.472.687;1.383.358;29.401;29.401;516.716;1.226;6.648;1.02;0.327;0.981;0.142
3.144;9;8.375.579;1.386.738;60.316;60.316;590.127;1.392;7.574;1.02;12.494;0.981;0.247
4.161;12;14.719.376;1.547.449;113.735;113.735;645.321;1.663;9.018;1.022;17.455;0.981;0.346
5.14;15;21.627.038;1.924.308;175.219;175.219;713.009;2.088;11.221;1.026;25.517;0.981;0.505
6.175;18;29.761.278;2.306.818;245.961;245.961;781.751;2.512;13.383;1.03;34.796;0.981;0.689
7.148;21;39.002.153;2.678.035;332.402;332.402;831.731;2.983;15.747;1.036;44.613;0.981;0.883
8.206;24;50.990.504;3.087.329;438.031;438.031;929.296;3.597;18.694;1.041;61.034;0.981;1.208
9.3;27;72.760.539;3.560.368;644.878;644.878;1.078.623;4.534;22.959;1.051;89.919;0.981;1.78
1.138;3;5.418.896;1.376.019;9.047;9.047;606.007;1.283;6.99;1.019;5.304;0.981;0.253
2.088;6;3.392.253;1382.14;29.161;29.161;513.77;1.223;6.624;1.02;0.724;0.981;0.139
3.144;9;8375.75;1.386.738;60.318;60.318;589.318;1.392;7.566;1.02;12.46;0.981;0.247
4.161;12;14.719.534;1.547.449;113.746;113.746;644.436;1.663;9.009;1.022;17.412;0.981;0.345
5.14;15;21.627.251;1.924.309;175.219;175.219;712.031;2.087;11.209;1.026;25.461;0.981;0.504
6.175;18;29.761.342;2.306.804;246.01;246.01;780.631;2.512;13.369;1.03;34.723;0.981;0.687
7.148;21;39.001.572;2.678.038;332.413;332.413;830.692;2.983;15.73;1.036;44.53;0.981;0.882
8.206;24;50.991.354;3.087.363;438.071;438.071;928.222;3.596;18.674;1.042;60.935;0.981;1.206
9.3;27;72.761.492;3.560.375;644.95;644.95;1.077.731;4.533;22.931;1.051;89.811;0.981;1.778
1.138;3;5.666.183;1366.28;8.481;8.481;615.524;1.288;7.018;1.019;10.915;0.981;0.268
2.088;6;3.405.279;1.382.314;29.197;29.197;513.406;1.223;6.618;1.02;0.313;0.981;0.139
3.144;9;8.375.845;1.386.739;60.312;60.312;588.511;1.392;7.559;1.02;12.427;0.981;0.246
4.161;12;14.719.673;1547.45;113.743;113.743;643.553;1.663;9.0;1.022;17.369;0.981;0.344
5.14;15;21.627.149;1.924.312;175.241;175.241;711.053;2.087;11.198;1.026;25.404;0.981;0.503
6.175;18;29.761.394;2.306.792;245.932;245.932;779.514;2.511;13.355;1.03;34.649;0.981;0.686
7.148;21;39.000.935;2.678.041;332.29;332.29;829.655;2.982;15.713;1.036;44.448;0.981;0.88
8.206;24;50.992.054;3.087.393;438.086;438.086;927.15;3.595;18.653;1.042;60.836;0.981;1.204
9.3;27;72.761.943;3.560.379;644.997;644.997;1.076.838;4.531;22.904;1.051;89.704;0.981;1.776
1.138;3;5.133.872;1.345.639;7.301;7.301;606.602;1.266;6.902;1.019;20.86;0.981;0.264
2.088;6;3.627.315;1.385.458;29.79;29.79;518.988;1.232;6.661;1.02;0.0;0.981;0.146
3.144;9;8.375.902;1.386.739;60.311;60.311;587.706;1.392;7.551;1.02;12.393;0.981;0.245
4.161;12;14.719.744;1.547.451;113.751;113.751;642.672;1.663;8.991;1.023;17.327;0.981;0.343
5.14;15;21.627.486;1.924.313;175.249;175.249;710.081;2.087;11.186;1.026;25.348;0.981;0.502
6.175;18;29.761.424;2.306.782;246.015;246.015;778.4;2.511;13.341;1.03;34.576;0.981;0.685
7.148;21;39000.41;2.678.043;332.332;332.332;828.622;2.981;15.695;1.036;44.366;0.981;0.878
8.206;24;50992.56;3087.42;438.09;438.09;926.08;3.595;18.632;1.042;60.738;0.981;1.202
9.3;27;72.762.723;3.560.383;644.803;644.803;1.075.949;4.53;22.876;1.051;89.597;0.981;1.774
1.138;3;3.996.402;1.334.127;6.649;6.649;577.346;1.228;6.679;1.019;24.496;0.981;0.233
2.088;6;3.737.386;1.386.789;30.052;30.052;521.374;1.236;6.678;1.02;0.0;0.981;0.149
3.144;9;8375.98;1386.74;60.32;60.32;586.902;1.392;7.544;1.02;12.359;0.981;0.245
4.161;12;14.719.783;1.547.451;113.755;113.755;641.793;1.663;8.982;1.023;17.284;0.981;0.342
5.14;15;21.627.536;1.924.315;175.247;175.247;709.109;2.087;11.175;1.026;25.292;0.981;0.501
6.175;18;29.761.456;2.306.775;246.006;246.006;777.289;2.511;13.327;1.03;34.503;0.981;0.683
7.148;21;38.999.883;2.678.047;332.28;332.28;827.592;2.981;15.678;1.036;44.284;0.981;0.877
8.206;24;50.993.012;3087.44;438.085;438.085;925.014;3.594;18.611;1.042;60.639;0.981;1.2
9.3;27;72.763.371;3.560.389;644.725;644.725;1.075.064;4.529;22.849;1.051;89.49;0.981;1.771
1.138;3;2.777.311;1.330.498;6.435;6.435;541.817;1.187;6.448;1.019;24.795;0.981;0.191
2.088;6;3.845.574;1.388.114;30.296;30.296;523.722;1.239;6.693;1.02;0.0;0.981;0.152
3.144;9;8.376.147;1386.74;60.324;60.324;586.1;1.391;7.537;1.02;12.325;0.981;0.244
4.161;12;14719.88;1.547.452;113.752;113.752;640.916;1.662;8.973;1.023;17.242;0.981;0.341
5.14;15;21.627.676;1.924.317;175.247;175.247;708.141;2.086;11.163;1.026;25.236;0.981;0.5
6.175;18;29.761.503;2.306.766;245.938;245.938;776.182;2.51;13.313;1.03;34.43;0.981;0.682
7.148;21;38.999.289;2.678.049;332.304;332.304;826.563;2.98;15.661;1.036;44.203;0.981;0.875
8.206;24;50.993.335;3.087.458;438.034;438.034;923.951;3.593;18.591;1.042;60.541;0.981;1.199
9.3;27;72.764.705;3.560.386;644.752;644.752;1.074.183;4.528;22.822;1.051;89.384;0.981;1.769
1.138;3;1.613.969;1.335.894;6.721;6.721;501.833;1.147;6.207;1.019;19.508;0.981;0.142
2.088;6;4.009.952;1.389.741;30.608;30.608;527.477;1.245;6.722;1.02;0.0;0.981;0.157
3.144;9;8376.21;1.386.741;60.317;60.317;585.299;1.391;7.53;1.02;12.292;0.981;0.243
4.161;12;14.719.888;1.547.453;113.757;113.757;640.041;1.662;8.964;1.023;17.199;0.981;0.34
5.14;15;21.627.996;1.924.318;175.222;175.222;707.176;2.086;11.152;1.026;25.18;0.981;0.498
6.175;18;29761.55;2.306.767;245.931;245.931;775.078;2.51;13.3;1.03;34.357;0.981;0.68
7.148;21;38.998.708;2.678.053;332.309;332.309;825.538;2.98;15.644;1.036;44.121;0.981;0.874
8.206;24;50.993.653;3087.47;438.001;438.001;922.891;3.592;18.57;1.042;60.442;0.981;1.197
9.3;27;72.765.467;3.560.389;645.067;645.067;1.073.303;4.527;22.795;1.051;89.278;0.981;1.767
1.138;3;1.081.776;1344.29;7.177;7.177;478.803;1.128;6.084;1.019;13.611;0.981;0.111
2.088;6;4.056.515;1390.14;30.689;30.689;528.131;1.247;6.721;1.02;0.0;0.981;0.158
3.144;9;8376.3;1.386.742;60.315;60.315;584.501;1.391;7.522;1.02;12.258;0.981;0.243
4.161;12;14719.98;1.547.453;113.746;113.746;639.169;1.662;8.955;1.023;17.157;0.981;0.34
5.14;15;21.628.061;1924.32;175.275;175.275;706.212;2.086;11.141;1.026;25.124;0.981;0.497
6.175;18;29.761.656;2.306.767;245.923;245.923;773.977;2.509;13.286;1.03;34.284;0.981;0.679
7.148;21;38.998.202;2.678.055;332.291;332.291;824.516;2.979;15.627;1.036;44.04;0.981;0.872
8.206;24;50.993.855;3.087.481;438.016;438.016;921.834;3.592;18.549;1.042;60.344;0.981;1.195
9.3;27;72.766.191;3.560.397;644.928;644.928;1.072.426;4.525;22.767;1.051;89.172;0.981;1.765
1.138;3;922.906;1.355.405;7.787;7.787;466.84;1.122;6.042;1.019;6.527;0.981;0.092
2.088;6;4.450.313;1.393.039;31.255;31.255;537.939;1.261;6.796;1.02;0.0;0.981;0.171
3.144;9;8.376.411;1.386.742;60.327;60.327;583.704;1.391;7.515;1.02;12.225;0.981;0.242
4.161;12;14720.1;1.547.454;113.743;113.743;638.299;1.662;8.946;1.023;17.115;0.981;0.339
5.14;15;21.628.226;1.924.321;175.233;175.233;705.251;2.085;11.129;1.026;25.068;0.981;0.496
6.175;18;29.761.836;2.306.774;245.925;245.925;772.88;2.509;13.272;1.03;34.212;0.981;0.677
7.148;21;38.997.726;2.678.057;332.256;332.256;823.497;2.978;15.61;1.036;43.959;0.981;0.87
8.206;24;50.993.953;3.087.491;438.056;438.056;920.78;3.591;18.529;1.042;60.246;0.981;1.193
9.3;27;72.766.986;3.560.394;644.739;644.739;1071.55;4.524;22.74;1.051;89.066;0.981;1.763
1.138;3;1.255.769;1.377.732;9.062;9.062;472.698;1.138;6.118;1.019;1.499;0.981;0.096
2.088;6;4.426.274;1.392.776;31.204;31.204;536.536;1.26;6.784;1.02;0.0;0.981;0.17
3.144;9;8.376.524;1.386.743;60.325;60.325;582.908;1.391;7.508;1.02;12.191;0.981;0.241
4.161;12;14.720.181;1.547.454;113.755;113.755;637.431;1.662;8.937;1.023;17.072;0.981;0.338
5.14;15;21.628.555;1.924.322;175.228;175.228;704.293;2.085;11.118;1.026;25.013;0.981;0.495
6.175;18;29.762.107;2.306.784;245.97;245.97;771.787;2.509;13.259;1.03;34.139;0.981;0.676
7.148;21;38.997.129;2.678.062;332.281;332.281;822.48;2.978;15.593;1.036;43.878;0.981;0.869
8.206;24;50.994.032;3.087.496;438.09;438.09;919.729;3.59;18.508;1.042;60.149;0.981;1.191
9.3;27;72.768.301;3.560.397;644.794;644.794;1.070.681;4.523;22.713;1.051;88.961;0.981;1.761
1.138;3;1.838.506;1.395.466;10.11;10.11;488.095;1.163;6.249;1.019;0.232;0.981;0.112
2.088;6;4.604.679;1.393.539;31.357;31.357;541.08;1.266;6.81;1.02;0.0;0.981;0.175
3.144;9;8.376.652;1.386.743;60.33;60.33;582.115;1.391;7.5;1.02;12.158;0.981;0.241
4.161;12;14.720.256;1.547.455;113.753;113.753;636.566;1.661;8.928;1.023;17.03;0.981;0.337
5.14;15;21.628.629;1.924.324;175.242;175.242;703.337;2.085;11.107;1.026;24.957;0.981;0.494
6.175;18;29.762.518;2.306.805;245.963;245.963;770.697;2.508;13.245;1.03;34.068;0.981;0.674
7.148;21;38996.68;2.678.064;332.288;332.288;821.467;2.977;15.576;1.036;43.797;0.981;0.867
8.206;24;50.994.024;3.087.496;438.081;438.081;918.68;3.589;18.488;1.042;60.051;0.981;1.189
9.3;27;72767.91;3.560.407;644.906;644.906;1.069.805;4.522;22.686;1.051;88.855;0.981;1.759
1.138;3;3.337.661;1412.43;11.151;11.151;532.153;1.221;6.564;1.019;0.0;0.981;0.164
2.088;6;4.894.715;1.394.463;31.534;31.534;548.29;1.275;6.858;1.02;0.0;0.981;0.184
3.144;9;8376.76;1.386.744;60.331;60.331;581.323;1.391;7.493;1.02;12.124;0.981;0.24
4.161;12;14.720.334;1.547.455;113.761;113.761;635.702;1.661;8.919;1.023;16.988;0.981;0.336
5.14;15;21.628.781;1.924.326;175.28;175.28;702.383;2.085;11.095;1.026;24.902;0.981;0.493
6.175;18;29.763.148;2306.83;245.981;245.981;769.611;2.508;13.232;1.03;33.996;0.981;0.673
7.148;21;38.996.178;2.678.065;332.365;332.365;820.455;2.977;15.559;1.036;43.717;0.981;0.866
8.206;24;50.993.953;3.087.495;438.011;438.011;917.635;3.588;18.467;1.042;59.954;0.981;1.187
9.3;27;72.769.721;3.560.399;644.783;644.783;1.068.943;4.521;22.659;1.051;88.751;0.981;1.757
1.138;3;5.586.766;1.400.028;10.422;10.422;596.786;1.293;6.97;1.019;0.184;0.981;0.242
2.088;6;4.858.975;1394.28;31.502;31.502;546.455;1.274;6.846;1.02;0.0;0.981;0.182
3.144;9;8.376.856;1.386.744;60.332;60.332;580.533;1.391;7.486;1.02;12.091;0.981;0.239
4.161;12;14720.4;1.547.456;113.753;113.753;634.84;1.661;8.91;1.023;16.946;0.981;0.335
5.14;15;21.628.913;1.924.328;175.285;175.285;701.431;2.084;11.084;1.026;24.846;0.981;0.492
6.175;18;29.764.028;2.306.867;245.939;245.939;768.53;2.508;13.218;1.03;33.925;0.981;0.672
7.148;21;38.995.709;2.678.066;332.344;332.344;819.447;2.976;15.542;1.036;43.636;0.981;0.864
8.206;24;50.993.926;3.087.493;437.99;437.99;916.593;3.588;18.446;1.042;59.857;0.981;1.185
9.3;27;72.770.244;3.560.403;644.774;644.774;1.068.077;4.52;22.632;1.051;88.646;0.981;1.755
1.138;3;6.095.554;1.332.137;6.518;6.518;627.647;1.29;6.982;1.019;25.82;0.981;0.297
2.088;6;5.107.432;1.394.535;31.554;31.554;552.603;1.282;6.884;1.02;0.0;0.981;0.19
3.144;9;8.376.943;1.386.745;60.332;60.332;579.744;1.391;7.479;1.02;12.058;0.981;0.239
4.161;12;14.720.557;1.547.457;113.762;113.762;633.981;1.661;8.901;1.023;16.905;0.981;0.335
5.14;15;21.629.171;1.924.329;175.237;175.237;700.483;2.084;11.073;1.026;24.791;0.981;0.491
6.175;18;29.765.291;2.306.913;245.981;245.981;767.453;2.508;13.205;1.03;33.854;0.981;0.67
7.148;21;38.995.173;2.678.068;332.298;332.298;818.441;2.975;15.525;1.036;43.556;0.981;0.862
8.206;24;50.993.888;3.087.491;438.063;438.063;915.555;3.587;18.426;1.042;59.76;0.981;1.183
9.3;27;72.770.282;3.560.413;644.957;644.957;1.067.211;4.518;22.606;1.051;88.541;0.981;1.753
1.138;3;1.832.401;1.317.048;5.665;5.665;510.8;1.152;6.195;1.019;27.651;0.981;0.16
2.088;6;5.445.994;1.394.248;31.513;31.513;561.023;1.293;6.941;1.02;0.0;0.981;0.201
3.144;9;8.377.032;1.386.746;60.335;60.335;578.956;1.39;7.472;1.02;12.025;0.981;0.238
4.161;12;14.720.584;1.547.457;113.762;113.762;633.124;1.661;8.892;1.023;16.863;0.981;0.334
5.14;15;21.629.453;1924.33;175.247;175.247;699.538;2.084;11.062;1.026;24.736;0.981;0.49
6.175;18;29.767.067;2.306.976;245.991;245.991;766.382;2.507;13.192;1.031;33.784;0.981;0.669
7.148;21;38.994.674;2.678.071;332.354;332.354;817.438;2.975;15.508;1.036;43.476;0.981;0.861
8.206;24;50.993.821;3087.49;438.055;438.055;914.52;3.586;18.405;1.042;59.663;0.981;1.181
9.3;27;72.771.877;3.560.406;645.032;645.032;1.066.355;4.517;22.579;1.051;88.438;0.981;1.751
1.138;3;622.831;1.333.393;6.54;6.54;462.33;1.108;5.937;1.019;16.079;0.981;0.097
2.088;6;5456.12;1.394.174;31.497;31.497;560.535;1.293;6.932;1.02;0.0;0.981;0.201
3.144;9;8.377.115;1.386.746;60.329;60.329;578.171;1.39;7.464;1.02;11.991;0.981;0.237
4.161;12;14.720.663;1.547.458;113.766;113.766;632.269;1.66;8.883;1.023;16.821;0.981;0.333
5.14;15;21.629.558;1.924.332;175.243;175.243;698.593;2.084;11.05;1.026;24.681;0.981;0.489
6.175;18;29.769.582;2.307.056;245.986;245.986;765.316;2.507;13.179;1.031;33.714;0.981;0.668
7.148;21;38.994.282;2.678.071;332.269;332.269;816.438;2.974;15.491;1.036;43.396;0.981;0.859
8.206;24;50993.74;3087.49;437.955;437.955;913.488;3.585;18.385;1.042;59.567;0.981;1.179
9.3;27;72772.89;3.560.403;644.849;644.849;1.065.498;4.516;22.552;1.051;88.334;0.981;1.749
1.138;3;720.093;1.362.113;8.143;8.143;451.765;1.115;5.953;1.019;0.0;0.981;0.073
2.088;6;5.651.848;1.393.721;31.417;31.417;565.14;1.299;6.959;1.02;0.0;0.981;0.207
3.144;9;8.377.285;1.386.747;60.337;60.337;577.387;1.39;7.457;1.02;11.958;0.981;0.237
4.161;12;14.720.834;1.547.459;113.756;113.756;631.416;1.66;8.874;1.023;16.779;0.981;0.332
5.14;15;21.629.654;1.924.334;175.288;175.288;697.651;2.083;11.039;1.027;24.626;0.981;0.487
6.175;18;29.773.324;2.307.163;246.067;246.067;764.259;2.507;13.166;1.031;33.645;0.981;0.666
7.148;21;38.993.744;2.678.076;332.306;332.306;815.441;2.974;15.474;1.036;43.317;0.981;0.858
8.206;24;50.993.741;3.087.486;438.001;438.001;912.459;3.584;18.365;1.042;59.471;0.981;1.177
9.3;27;72.774.069;3.560.405;645.109;645.109;1.064.646;4.515;22.526;1.051;88.231;0.981;1.747
1.138;3;1.052.953;1.375.744;8.927;8.927;460.706;1.129;6.023;1.019;0.0;0.981;0.083
2.088;6;5.907.273;1.392.541;31.206;31.206;571.464;1.306;6.995;1.02;0.0;0.981;0.216
3.144;9;8.377.372;1.386.747;60.339;60.339;576.605;1.39;7.45;1.02;11.925;0.981;0.236
4.161;12;14.720.839;1.547.459;113.767;113.767;630.565;1.66;8.865;1.023;16.738;0.981;0.331
5.14;15;21.629.831;1.924.336;175.293;175.293;696.712;2.083;11.028;1.027;24.571;0.981;0.486
